series,strategy,threshold_quantile,is_skab_setting,f1,precision,recall,event_f1,event_precision,event_recall,n_true_events,n_detected_events,alarm_rate,flag_everything_f1,n_adaptations,n_steps,seconds
ambient_temperature_system_failure,periodic,0.9,False,0.2396946564885496,0.16578669482576558,0.4325068870523416,0.28442028985507245,0.16578669482576558,1.0,2,2,0.302217967129408,0.20763620763620763,6,6267,1.04
ambient_temperature_system_failure,drift-triggered,0.9,False,0.20324189526184538,0.1856492027334852,0.22451790633608815,0.31316042267050914,0.1856492027334852,1.0,2,2,0.14009893090793044,0.20763620763620763,17,6267,2.29
ambient_temperature_system_failure,static,0.95,False,0.35802469135802467,0.25528169014084506,0.5991735537190083,0.4067321178120617,0.25528169014084506,1.0,2,2,0.27190043082814747,0.20763620763620763,0,6267,0.18
ambient_temperature_system_failure,online-no-reset,0.95,False,0.09205020920502092,0.11727078891257996,0.07575757575757576,0.1899827288428325,0.11727078891257996,0.5,2,1,0.07483644486995372,0.20763620763620763,0,6267,0.55
ambient_temperature_system_failure,periodic,0.95,False,0.24081822408182238,0.18175438596491228,0.35674931129476584,0.30760095011876487,0.18175438596491228,1.0,2,2,0.2273815222594543,0.20763620763620763,6,6267,0.99
ambient_temperature_system_failure,drift-triggered,0.95,False,0.20857863751051303,0.2678185745140389,0.17079889807162535,0.4224872231686542,0.2678185745140389,1.0,2,2,0.07387904898675603,0.20763620763620763,17,6267,2.36
ambient_temperature_system_failure,static,0.98,True,0.37125129265770423,0.29718543046357615,0.49449035812672176,0.4582003828972559,0.29718543046357615,1.0,2,2,0.19275570448380405,0.20763620763620763,0,6267,0.19
ambient_temperature_system_failure,online-no-reset,0.98,True,0.08492569002123142,0.18518518518518517,0.05509641873278237,0.2702702702702703,0.18518518518518517,0.5,2,1,0.03446625179511728,0.20763620763620763,0,6267,0.56
ambient_temperature_system_failure,periodic,0.98,True,0.28949199721642305,0.29254571026722925,0.2865013774104683,0.45266594124047876,0.29254571026722925,1.0,2,2,0.11345141215892772,0.20763620763620763,6,6267,1.0
ambient_temperature_system_failure,drift-triggered,0.98,True,0.07627118644067797,0.1651376146788991,0.049586776859504134,0.2482758620689655,0.1651376146788991,0.5,2,1,0.03478538375618318,0.20763620763620763,17,6267,2.34
rogue_agent_key_updown,static,0.5,False,0.06687565308254963,0.07494145199063232,0.06037735849056604,0.13943355119825707,0.07494145199063232,1.0,2,2,0.09895712630359212,0.21878224974200206,0,4315,0.16
rogue_agent_key_updown,online-no-reset,0.5,False,0.1622187336473051,0.11223750905141203,0.29245283018867924,0.20182291666666669,0.11223750905141203,1.0,2,2,0.32004634994206255,0.21878224974200206,0,4315,0.49
rogue_agent_key_updown,periodic,0.5,False,0.045356371490280774,0.05303030303030303,0.03962264150943396,0.10071942446043167,0.05303030303030303,1.0,2,2,0.0917728852838934,0.21878224974200206,4,4315,0.83
rogue_agent_key_updown,drift-triggered,0.5,False,0.06687565308254963,0.07494145199063232,0.06037735849056604,0.13943355119825707,0.07494145199063232,1.0,2,2,0.09895712630359212,0.21878224974200206,2,4315,0.62
rogue_agent_key_updown,static,0.7,False,0.06687565308254963,0.07494145199063232,0.06037735849056604,0.13943355119825707,0.07494145199063232,1.0,2,2,0.09895712630359212,0.21878224974200206,0,4315,0.16
rogue_agent_key_updown,online-no-reset,0.7,False,0.1622187336473051,0.11223750905141203,0.29245283018867924,0.20182291666666669,0.11223750905141203,1.0,2,2,0.32004634994206255,0.21878224974200206,0,4315,0.49
rogue_agent_key_updown,periodic,0.7,False,0.03285870755750274,0.0391644908616188,0.02830188679245283,0.07537688442211055,0.0391644908616188,1.0,2,2,0.08876013904982619,0.21878224974200206,4,4315,0.85
rogue_agent_key_updown,drift-triggered,0.7,False,0.06687565308254963,0.07494145199063232,0.06037735849056604,0.13943355119825707,0.07494145199063232,1.0,2,2,0.09895712630359212,0.21878224974200206,2,4315,0.64
